epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2998,1.52652,2.69103,1.83246,0.01141,0.28624,0.01168,0.00404,2.24584,23.2915,3.14231,0.000250993,0.000250993,0.000250993
2,61.3142,1.58736,2.41099,1.82298,4e-05,0.01111,2e-05,1e-05,nan,nan,nan,0.000502304,0.000502304,0.000502304
3,93.7691,1.57967,2.37015,1.7853,0.00178,0.02222,0.00077,0.00036,nan,nan,nan,0.000748539,0.000748539,0.000748539
4,128.408,1.53835,2.3168,1.73076,0.01568,0.09974,0.00717,0.00287,2.4825,inf,4.77933,0.000746161,0.000746161,0.000746161
5,161.8,1.50446,2.18703,1.68316,0.02945,0.17467,0.03792,0.01352,2.36603,31.7848,3.28945,0.000738548,0.000738548,0.000738548
6,195.621,1.46385,2.1675,1.67715,0.1748,0.35961,0.15546,0.07722,1.53276,2.97527,2.21812,0.000730935,0.000730935,0.000730935
7,229.824,1.40684,2.0887,1.61495,0.47106,0.18885,0.11143,0.0481,2.12612,4.54267,2.8222,0.000723321,0.000723321,0.000723321
8,263.375,1.39659,2.05747,1.60458,0.14655,0.52103,0.27345,0.16053,1.43569,3.35595,1.92546,0.000715708,0.000715708,0.000715708
9,297.478,1.3697,1.97447,1.58099,0.30489,0.44974,0.31141,0.16529,1.56363,2.8685,2.02915,0.000708095,0.000708095,0.000708095
10,331.491,1.31817,1.89866,1.53559,0.45251,0.59786,0.50771,0.28968,1.42492,1.81424,1.99826,0.000700482,0.000700482,0.000700482
11,365.711,1.33319,1.88329,1.55089,0.42139,0.40447,0.39429,0.20252,1.7492,2.10513,2.20104,0.000692869,0.000692869,0.000692869
12,399.244,1.28938,1.83346,1.50546,0.44052,0.64204,0.54002,0.22079,2.08848,1.56749,2.83998,0.000685256,0.000685256,0.000685256
13,432.633,1.30404,1.84416,1.53767,0.38364,0.66357,0.53966,0.33486,1.23381,1.58504,1.69706,0.000677643,0.000677643,0.000677643
14,466.555,1.27667,1.7481,1.50012,0.47266,0.58705,0.53861,0.24723,1.78356,1.72754,2.28968,0.00067003,0.00067003,0.00067003
15,500.11,1.25752,1.75568,1.4804,0.38323,0.55296,0.47419,0.26708,1.56117,2.19951,1.96647,0.000662417,0.000662417,0.000662417
16,533.582,1.271,1.72731,1.49127,0.54525,0.56902,0.61384,0.36136,1.39718,1.4692,1.79101,0.000654804,0.000654804,0.000654804
17,567.51,1.23968,1.63912,1.46473,0.4646,0.61791,0.59572,0.36588,1.19838,1.55317,1.6694,0.00064719,0.00064719,0.00064719
18,601.651,1.19905,1.59992,1.44087,0.57656,0.67348,0.69739,0.41103,1.42448,1.30645,1.89536,0.000639577,0.000639577,0.000639577
19,635.553,1.20124,1.58682,1.44585,0.42399,0.59253,0.57653,0.34695,1.27984,1.89581,1.75233,0.000631964,0.000631964,0.000631964
20,668.973,1.18955,1.59941,1.42814,0.36576,0.60156,0.50602,0.31159,1.27486,1.75254,1.80227,0.000624351,0.000624351,0.000624351
21,702.548,1.14519,1.54262,1.40465,0.62141,0.61675,0.66792,0.38372,1.32878,1.42506,1.78631,0.000616738,0.000616738,0.000616738
22,736.15,1.19046,1.55103,1.41579,0.59314,0.67967,0.69305,0.43377,1.21199,1.32837,1.70554,0.000609125,0.000609125,0.000609125
23,770.215,1.20296,1.49705,1.42965,0.74427,0.54958,0.63693,0.40306,1.28248,1.54445,1.7295,0.000601512,0.000601512,0.000601512
24,803.733,1.12862,1.47904,1.3933,0.57535,0.64412,0.65983,0.43358,1.16494,1.47972,1.62738,0.000593899,0.000593899,0.000593899
25,837.31,1.16269,1.48511,1.40257,0.53882,0.69615,0.66,0.42623,1.16589,1.56192,1.57823,0.000586286,0.000586286,0.000586286
26,870.875,1.13655,1.44621,1.38748,0.47366,0.61029,0.62607,0.39429,1.17755,1.74915,1.62051,0.000578672,0.000578672,0.000578672
27,904.436,1.14665,1.44948,1.40117,0.60936,0.69285,0.75176,0.48508,1.18641,1.27618,1.64284,0.000571059,0.000571059,0.000571059
28,938.457,1.11686,1.39027,1.36277,0.69012,0.72501,0.76642,0.45914,1.35505,1.20239,1.82132,0.000563446,0.000563446,0.000563446
29,972.038,1.14812,1.36325,1.38654,0.68267,0.6932,0.77451,0.50186,1.23948,1.20054,1.69269,0.000555833,0.000555833,0.000555833
